Nombre_2,Apellido_2,CUI_2,AbreviacionInstitucion_2,TipoCuenta_2,Nombre_1,Apellido_1,CUI_1,AbreviacionInstitucion_1,TipoCuenta_1,MontoTransferencia,FechaTransferencia,tipo_operacion
Nelia,Hathway,1962610551,BI,Monetaria en $,Abigale,Crann,1187255777,BI,Ahorro,7822,2020-03-20 16:10:15,credito
Carmita,Hiscoke,8640571546,BAM,Monetaria en Q,Abigale,Crann,1187255777,BI,Ahorro,7176,2021-01-07 17:31:26,credito
Daffy,Marages,2720935689,Promerica,Monetaria en Q,Abigale,Crann,1187255777,BI,Ahorro,9920,2020-12-22 08:46:01,credito
Joelynn,De Gregoli,9835876975,Promerica,Ahorro,Abigale,Crann,1187255777,BAM,Monetaria en $,6296,2020-04-28 10:56:22,credito
Deni,Tarn,6467582497,BANRURAL,Monetaria en $,Alexander,Amor,7361225500,Promerica,Ahorro,9703,2020-05-09 19:47:21,credito
Horatia,Brumpton,1653130695,G&T,Monetaria en Q,Alexander,Amor,7361225500,Promerica,Ahorro,4550,2021-01-28 18:26:16,credito
Gracia,Burchill,5981356200,BANRURAL,Monetaria en $,Alexander,Amor,7361225500,Promerica,Ahorro,7075,2020-03-13 14:48:06,credito
Giordano,Rimington,270162925,BANRURAL,Ahorro,Alexander,Amor,7361225500,Promerica,Ahorro,8540,2020-09-18 15:08:25,credito
Nelia,Hathway,1962610551,G&T,Monetaria en Q,Alexander,Amor,7361225500,Promerica,Ahorro,8030,2020-12-15 17:00:58,credito
Koressa,Knowler,7737952055,Promerica,Ahorro,Alexander,Amor,7361225500,Promerica,Ahorro,3158,2021-01-01 20:57:02,credito
Ardys,Cave,3418211453,Promerica,Ahorro,Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,9717,2020-08-18 13:09:45,credito
Elnore,Foy,6154977174,BANRURAL,Ahorro,Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,5561,2020-07-12 00:42:24,credito
Neill,Esser,7964176803,BI,Monetaria en Q,Alfie,Castellaccio,2344960856,G&T,Monetaria en $,3874,2021-01-14 07:27:27,credito
Bobbette,Dutton,930849132,BI,Ahorro,Alfie,Castellaccio,2344960856,BANRURAL,Monetaria en $,4935,2020-03-04 11:20:09,credito
Hali,Peebles,1909436437,Promerica,Ahorro,Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,8521,2020-01-18 06:57:18,credito
Deni,Tarn,6467582497,BANRURAL,Monetaria en $,Alfie,Castellaccio,2344960856,G&T,Monetaria en $,3745,2020-10-17 05:01:12,credito
Deni,Tarn,6467582497,BANRURAL,Monetaria en $,Alfie,Castellaccio,2344960856,BANRURAL,Monetaria en Q,653,2021-03-05 21:38:22,credito
Cherry,Youtead,6393106875,BANRURAL,Monetaria en Q,Alfie,Castellaccio,2344960856,BANRURAL,Monetaria en Q,7237,2020-05-22 10:39:44,credito
Inga,Cromleholme,3179095431,BAM,Ahorro,Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,3597,2020-03-03 01:44:27,credito
Hali,Peebles,1909436437,Promerica,Monetaria en $,Alfie,Castellaccio,2344960856,G&T,Monetaria en $,5131,2021-03-12 02:11:55,credito
Ddene,Tant,2293083373,BI,Ahorro,Alfie,Castellaccio,2344960856,BANRURAL,Monetaria en $,7846,2020-03-19 02:20:28,credito
Inga,Cromleholme,3179095431,BI,Ahorro,Alfie,Castellaccio,2344960856,G&T,Monetaria en $,8776,2020-02-08 18:37:51,credito
Deni,Tarn,6467582497,BANRURAL,Monetaria en $,Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,8855,2021-02-20 05:31:37,credito
Maggee,Shergold,6816494733,Promerica,Ahorro,Alfie,Castellaccio,2344960856,BANRURAL,Monetaria en $,3414,2020-09-15 12:39:36,credito
Alfie,Castellaccio,2344960856,BAM,Monetaria en Q,Alfie,Castellaccio,2344960856,BANRURAL,Monetaria en Q,9454,2020-10-30 04:55:46,credito
Ty,Kittow,1976810418,G&T,Monetaria en $,Alfie,Castellaccio,2344960856,BANRURAL,Ahorro,554,2021-03-08 21:54:12,credito
Henriette,Stag,5203620156,BANRURAL,Monetaria en $,Antonetta,Bowler,4380702766,BANRURAL,Ahorro,7882,2020-06-21 01:07:26,credito
Devin,Sheere,2286509069,BAM,Ahorro,Antonetta,Bowler,4380702766,BAM,Monetaria en $,8384,2021-01-08 15:59:43,credito
Abigale,Crann,1187255777,BAM,Monetaria en $,Antonetta,Bowler,4380702766,BANRURAL,Ahorro,5803,2020-01-22 05:00:04,credito
Koressa,Knowler,7737952055,Promerica,Ahorro,Antonetta,Bowler,4380702766,BAM,Monetaria en $,5169,2020-08-26 15:48:59,credito
Maressa,Delgadillo,3899636643,BI,Ahorro,Antonetta,Bowler,4380702766,BANRURAL,Ahorro,6534,2021-03-04 06:06:09,credito
Arron,Dalziel,4113842388,BANRURAL,Monetaria en $,Antonetta,Bowler,4380702766,BAM,Monetaria en $,4190,2020-10-10 23:49:52,credito
Ulla,Balloch,3278286464,Promerica,Monetaria en Q,Antonetta,Bowler,4380702766,BAM,Monetaria en $,6751,2020-08-15 05:58:07,credito
Hali,Peebles,1909436437,Promerica,Monetaria en $,Antonetta,Bowler,4380702766,BAM,Monetaria en $,912,2021-03-02 04:24:26,credito
Leonid,Berrey,9488599294,Promerica,Monetaria en $,Ardys,Cave,3418211453,Promerica,Ahorro,6454,2020-10-01 20:17:30,credito
Joelynn,De Gregoli,9835876975,Promerica,Ahorro,Ardys,Cave,3418211453,Promerica,Ahorro,6311,2021-03-27 20:25:40,credito
Sunny,Alvin,6456388384,Promerica,Monetaria en $,Arleta,Umbert,1805028979,BANRURAL,Ahorro,8361,2020-09-01 08:38:28,credito
Antonetta,Bowler,4380702766,BAM,Monetaria en $,Arleta,Umbert,1805028979,G&T,Monetaria en Q,4667,2020-11-10 04:21:22,credito
Daffy,Marages,2720935689,Promerica,Monetaria en Q,Arleta,Umbert,1805028979,G&T,Monetaria en Q,3913,2020-08-16 21:45:37,credito
Cherry,Youtead,6393106875,Promerica,Ahorro,Arleta,Umbert,1805028979,G&T,Monetaria en Q,4177,2020-10-01 07:29:35,credito
Deni,Tarn,6467582497,G&T,Monetaria en Q,Arleta,Umbert,1805028979,G&T,Monetaria en Q,1126,2020-05-31 04:56:42,credito
Vassili,Drowsfield,3345353652,BAM,Monetaria en Q,Arleta,Umbert,1805028979,BI,Monetaria en $,8206,2020-05-14 09:31:09,credito
Caryn,Kirkham,1581008589,BAM,Ahorro,Arleta,Umbert,1805028979,BI,Monetaria en $,6840,2020-11-23 03:33:10,credito
Bobbette,Dutton,930849132,BI,Ahorro,Arleta,Umbert,1805028979,G&T,Monetaria en Q,3974,2021-01-10 03:44:24,credito
Renard,Pelchat,8373980261,Promerica,Ahorro,Arleta,Umbert,1805028979,G&T,Monetaria en Q,7983,2020-07-13 14:11:57,credito
Colas,Feek,440057779,BAM,Monetaria en $,Arleta,Umbert,1805028979,BANRURAL,Ahorro,4132,2021-02-05 11:04:35,credito
Hali,Peebles,1909436437,Promerica,Monetaria en $,Arlin,Bruckner,7819264039,Promerica,Monetaria en Q,874,2020-01-07 20:22:56,credito
Elnore,Foy,6154977174,BAM,Ahorro,Arlin,Bruckner,7819264039,BANRURAL,Monetaria en Q,9094,2020-01-10 06:38:40,credito
Luelle,Barenskie,8068530312,G&T,Monetaria en Q,Arlin,Bruckner,7819264039,Promerica,Monetaria en Q,5410,2020-03-04 16:19:27,credito
Bobbette,Dutton,930849132,Promerica,Ahorro,Arlin,Bruckner,7819264039,BANRURAL,Monetaria en Q,1194,2020-04-04 21:15:26,credito
Ulla,Balloch,3278286464,Promerica,Monetaria en Q,Arlin,Bruckner,7819264039,Promerica,Ahorro,4126,2020-02-10 10:58:49,credito
Lauralee,Britnell,8712012858,BI,Monetaria en Q,Arlin,Bruckner,7819264039,Promerica,Monetaria en Q,7960,2020-06-13 04:43:44,credito
Janith,Metheringham,6172401947,BI,Monetaria en $,Arlin,Bruckner,7819264039,Promerica,Monetaria en Q,9601,2020-10-29 23:07:46,credito
Neill,Esser,7964176803,BI,Monetaria en Q,Arlin,Bruckner,7819264039,Promerica,Ahorro,6287,2020-01-24 00:26:51,credito
Vonny,Westall,2354138652,G&T,Ahorro,Arron,Dalziel,4113842388,G&T,Monetaria en Q,5927,2020-02-28 14:06:19,credito
Morgun,Coots,6920115220,Promerica,Monetaria en $,Arron,Dalziel,4113842388,G&T,Monetaria en Q,1251,2020-05-03 05:45:29,credito
Colas,Feek,440057779,G&T,Monetaria en $,Arron,Dalziel,4113842388,G&T,Monetaria en Q,663,2020-12-24 08:13:33,credito
Leann,Buncher,7589827045,BI,Monetaria en $,Arron,Dalziel,4113842388,BANRURAL,Monetaria en $,7594,2021-03-01 09:20:12,credito
Jeanne,Ciottoi,3199681735,BI,Monetaria en Q,Arron,Dalziel,4113842388,BANRURAL,Monetaria en $,3125,2020-02-16 01:17:05,credito
Manuel,Gouldstone,2293547442,G&T,Ahorro,Bobbette,Dutton,930849132,G&T,Monetaria en $,8722,2020-11-06 23:35:34,credito
